@RELATION traces 

@ATTRIBUTE program 	{chess, gantt, itrust, jhotdraw}
@ATTRIBUTE RequirementID	REAL
@ATTRIBUTE MethodID REAL 


@DATA





chess,1,1
chess,2,1
chess,3,1
chess,4,1
chess,5,1
chess,6,1
chess,7,1
chess,8,1
chess,1,3
chess,2,3
chess,3,3
chess,4,3
chess,5,3
chess,6,3
chess,7,3
chess,8,3
chess,1,4
chess,2,4
chess,3,4
chess,4,4
chess,5,4
chess,6,4
chess,7,4
chess,8,4
chess,1,5
chess,2,5
chess,3,5
chess,4,5
chess,5,5
chess,6,5
chess,7,5
chess,8,5
chess,1,6
chess,2,6
chess,3,6
chess,4,6
chess,5,6
chess,6,6
chess,7,6
chess,8,6
chess,1,7
chess,2,7
chess,3,7
chess,4,7
chess,5,7
chess,6,7
chess,7,7
chess,8,7
chess,1,8
chess,2,8
chess,3,8
chess,4,8
chess,5,8
chess,6,8
chess,7,8
chess,8,8
chess,1,9
chess,2,9
chess,3,9
chess,4,9
chess,5,9
chess,6,9
chess,7,9
chess,8,9
chess,1,10
chess,2,10
chess,3,10
chess,4,10
chess,5,10
chess,6,10
chess,7,10
chess,8,10
chess,1,11
chess,2,11
chess,3,11
chess,4,11
chess,5,11
chess,6,11
chess,7,11
chess,8,11
chess,1,12
chess,2,12
chess,3,12
chess,4,12
chess,5,12
chess,6,12
chess,7,12
chess,8,12
chess,1,13
chess,2,13
chess,3,13
chess,4,13
chess,5,13
chess,6,13
chess,7,13
chess,8,13
chess,1,14
chess,2,14
chess,3,14
chess,4,14
chess,5,14
chess,6,14
chess,7,14
chess,8,14
chess,1,15
chess,2,15
chess,3,15
chess,4,15
chess,5,15
chess,6,15
chess,7,15
chess,8,15
chess,1,16
chess,2,16
chess,3,16
chess,4,16
chess,5,16
chess,6,16
chess,7,16
chess,8,16
chess,1,17
chess,2,17
chess,3,17
chess,4,17
chess,5,17
chess,6,17
chess,7,17
chess,8,17
chess,1,18
chess,2,18
chess,3,18
chess,4,18
chess,5,18
chess,6,18
chess,7,18
chess,8,18
chess,1,19
chess,2,19
chess,3,19
chess,4,19
chess,5,19
chess,6,19
chess,7,19
chess,8,19
chess,1,22
chess,2,22
chess,3,22
chess,4,22
chess,5,22
chess,6,22
chess,7,22
chess,8,22
chess,1,23
chess,2,23
chess,3,23
chess,4,23
chess,5,23
chess,6,23
chess,7,23
chess,8,23
chess,1,24
chess,2,24
chess,3,24
chess,4,24
chess,5,24
chess,6,24
chess,7,24
chess,8,24
chess,1,26
chess,2,26
chess,3,26
chess,4,26
chess,5,26
chess,6,26
chess,7,26
chess,8,26
chess,1,27
chess,2,27
chess,3,27
chess,4,27
chess,5,27
chess,6,27
chess,7,27
chess,8,27
chess,1,28
chess,2,28
chess,3,28
chess,4,28
chess,5,28
chess,6,28
chess,7,28
chess,8,28
chess,1,29
chess,2,29
chess,3,29
chess,4,29
chess,5,29
chess,6,29
chess,7,29
chess,8,29
chess,1,30
chess,2,30
chess,3,30
chess,4,30
chess,5,30
chess,6,30
chess,7,30
chess,8,30
chess,1,31
chess,2,31
chess,3,31
chess,4,31
chess,5,31
chess,6,31
chess,7,31
chess,8,31
chess,1,32
